ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): All 50 + DC; School Type [Public School] (All Years: 2018-19): 1-Regular school 2-Special education school; Grade 12 offered [Public School] (All Years: 2018-19): Yes

School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,County Name [Public School] 2018-19,Web Site URL [Public School] 2018-19,Phone Number [Public School] 2018-19,School Type [Public School] 2018-19,Grade 12 offered [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2018-19,Male Students [Public School] 2018-19,Female Students [Public School] 2018-19,Two or More Races Students [Public School] 2018-19,Hawaiian Nat./Pacific Isl. Students [Public School] 2018-19,White Students [Public School] 2018-19,Black Students [Public School] 2018-19,Hispanic Students [Public School] 2018-19,Asian or Asian/Pacific Islander Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2018-19,Location City [Public School] 2018-19
?NIMO COMPTON CHARTER,CALIFORNIA,CA ,Los Angeles County,http://greendot.org,3235651600,1-Regular school,1-Yes,68,36,32,2,="0",1,28,37,="0",="0",65,Los Angeles
18+ PROGRAM,NEBRASKA,NE ,Adams County,†,4024635611,2-Special education school,1-Yes,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",–,HASTINGS
21ST CENTURY CHARTER SCH OF GARY,Indiana,IN ,Lake County,†,2198869339,1-Regular school,1-Yes,883,447,436,23,†,†,837,23,†,†,737,Gary
21ST CENTURY CYBER CS,Pennsylvania,PA ,Chester County,http://www.21cccs.org,4848755400,1-Regular school,1-Yes,1235,486,749,70,="0",918,128,97,18,4,212,Downingtown
21ST CENTURY ESCHOOL,Wisconsin,WI ,Dane County,http://www.mcpasd.k12.wi.us,6088299027,1-Regular school,1-Yes,12,5,7,1,="0",9,2,="0",="0",="0",3,Middleton
21ST CENTURY LEARNING ACADEMY/KIOWA COUNTY,Kansas,KS ,Kiowa County,†,6207231130,1-Regular school,1-Yes,193,75,118,†,†,18,1,174,†,†,="0",Greensburg
360 HIGH SCHOOL,RHODE ISLAND,RI ,Providence County,†,4012744603,1-Regular school,1-Yes,234,108,126,16,="0",15,37,161,2,3,203,Providence
49TH STREET ACADEMY,Washington,WA ,Clark County,†,3606046700,2-Special education school,1-Yes,97,75,22,7,1,53,11,13,9,3,68,Vancouver
500 REACH,KANSAS,KS ,Wyandotte County,†,9132871718,1-Regular school,1-Yes,212,74,138,7,1,34,67,94,5,4,="0",Kansas City
5280 HIGH SCHOOL,COLORADO,CO ,Denver County,†,7209191056,1-Regular school,1-Yes,101,66,35,3,†,26,18,51,1,2,71,DENVER
7 RIVERS COMMUNITY HIGH,Wisconsin,WI ,La Crosse County,http://www.lacrosseschools.org,6087897700,1-Regular school,1-Yes,31,17,14,1,†,27,1,†,2,†,14,La Crosse
917 DASH,Minnesota,MN ,Dakota County,†,6514238401,2-Special education school,1-Yes,25,15,10,="0",="0",14,6,3,2,="0",4,ROSEMOUNT
917 INTRA-DAKOTA EDUCATIONAL ALT,Minnesota,MN ,Dakota County,http://www.isd917.k12.mn.us,6514238100,2-Special education school,1-Yes,50,42,8,12,="0",18,9,9,="0",2,39,ROSEMOUNT
917 PACES,Minnesota,MN ,Dakota County,http://www.isd917.k12.mn.us,6514238401,2-Special education school,1-Yes,30,24,6,3,="0",23,1,1,2,="0",3,ROSEMOUNT
917 SUN,Minnesota,MN ,Dakota County,†,6514238150,2-Special education school,1-Yes,121,95,26,11,†,71,17,15,5,2,55,ROSEMOUNT
917 TRANSITIONAL EDUCATION SERV ALT,Minnesota,MN ,Dakota County,http://www.isd917.k12.mn.us,6514238401,2-Special education school,1-Yes,72,49,23,4,="0",53,7,5,3,="0",23,ROSEMOUNT
A & M CONS H S,Texas,TX ,Brazos County,http://amchs.csisd.org,9797645500,1-Regular school,1-Yes,1763,885,878,64,="0",878,252,427,134,8,624,COLLEGE STATION
A B SHEPARD HIGH SCH (CAMPUS),Illinois,IL ,Cook County,†,7083711111,1-Regular school,1-Yes,1753,918,835,41,†,743,440,502,26,1,1101,Palos Heights
A C JONES H S,Texas,TX ,Bee County,http://beevilleisd.net,3613626000,1-Regular school,1-Yes,989,496,493,10,1,137,30,806,5,="0",791,BEEVILLE
A E R O EDUCATIONAL CENTER,Illinois,IL ,Cook County,†,7084963330,2-Special education school,1-Yes,100,77,23,†,†,61,7,30,1,1,45,Burbank
A G WEST BLACK HILLS HIGH SCHOOL,Washington,WA ,Thurston County,†,3607097800,1-Regular school,1-Yes,853,416,437,92,5,609,18,92,31,6,217,Tumwater
A L BROWN HIGH,North Carolina,NC ,Cabarrus County,http://albhs.kcs.k12.nc.us/cms/One.aspx,7049326125,1-Regular school,1-Yes,1616,852,764,87,1,500,471,534,23,="0",1608,Kannapolis
A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,New York,NY ,New York County,†,2126906800,1-Regular school,1-Yes,1525,754,771,26,4,34,421,953,77,10,1305,NEW YORK
A+ SECONDARY SCHOOL,TEXAS,TX ,Dallas County,†,9725575578,1-Regular school,1-Yes,586,297,289,7,="0",17,15,546,1,="0",524,DALLAS
A-3 MULTIAGENCY ADOLESCENT PROG,Washington,WA ,Spokane County,http://www.spokaneschools.org,5093546299,1-Regular school,1-Yes,25,11,14,1,†,18,3,3,†,†,22,Spokane
A-C CENTRAL HIGH SCHOOL,Illinois,IL ,Cass County,†,2174763312,1-Regular school,1-Yes,129,65,64,†,†,127,†,2,†,†,53,Ashland
A. C. E.,Arizona,AZ ,Pima County,†,5206824749,1-Regular school,1-Yes,7,7,="0",1,="0",3,="0",3,="0",="0",†,MARANA
A. C. FLORA HIGH,South Carolina,SC ,Richland County,†,8037387300,1-Regular school,1-Yes,1455,738,717,74,="0",696,533,131,20,1,1455,Columbia
A. CRAWFORD MOSLEY HIGH SCHOOL,Florida,FL ,Bay County,†,8507674400,1-Regular school,1-Yes,1802,859,943,97,3,1383,190,94,32,3,581,LYNN HAVEN
A. PHILIP RANDOLPH ACADEMIES,Florida,FL ,Duval County,http://www.duvalschools.org/aprtech,9049243011,1-Regular school,1-Yes,503,218,285,20,="0",40,390,47,6,="0",340,JACKSONVILLE
A.C.G.C. SECONDARY,Minnesota,MN ,Meeker County,http://www.acgc.k12.mn.us,3202444700,1-Regular school,1-Yes,379,205,174,6,†,341,†,29,†,3,152,GROVE CITY
A.D. HENDERSON UNIVERSITY SCHOOL & FAU HIGH SCHOOL,Florida,FL ,Palm Beach County,http://www.adhus.fau.edu,5612973970,1-Regular school,1-Yes,1148,548,600,53,1,498,171,306,115,4,370,BOCA RATON
AAEC - PARADISE VALLEY,Arizona,AZ ,Maricopa County,†,6025691101,1-Regular school,1-Yes,336,107,229,5,2,254,12,50,12,1,–,Phoenix
AAEC - SMCC CAMPUS,Arizona,AZ ,Maricopa County,†,6022978500,1-Regular school,1-Yes,492,220,272,4,="0",39,37,404,3,5,–,Phoenix
ABBEVILLE HIGH,South Carolina,SC ,Abbeville County,†,8643665916,1-Regular school,1-Yes,479,245,234,10,="0",232,225,10,2,="0",292,Abbeville
ABBEVILLE HIGH SCHOOL,Louisiana,LA ,Vermilion Parish,†,3378931874,1-Regular school,1-Yes,647,323,324,22,†,213,330,33,49,†,368,Abbeville
ABBEVILLE HIGH SCHOOL,Alabama,AL ,Henry County,http://www.abbevillehighschool.com,3345852065,1-Regular school,1-Yes,342,184,158,10,="0",95,223,13,1,="0",302,Abbeville
ABBOTSFORD MIDDLE/SENIOR HIGH,Wisconsin,WI ,Clark County,http://www.abbotsford.k12.wi.us,7152232386,1-Regular school,1-Yes,391,197,194,2,†,200,7,181,1,†,248,Abbotsford
ABBOTT HOUSE HIGH SCHOOL - 07,South Dakota,SD ,Davison County,†,6059962486,1-Regular school,1-Yes,22,="0",22,2,="0",9,="0",="0",="0",11,3,Mitchell
ABBOTT SCHOOL,Texas,TX ,Hill County,http://www.abbottisd.org,2545823011,1-Regular school,1-Yes,277,141,136,7,="0",232,2,36,="0",="0",70,ABBOTT
ABBY KELLEY FOSTER CHARTER PUBLIC SCHOOL,Massachusetts,MA ,Worcester County,http://www.akfcs.org,5088548400,1-Regular school,1-Yes,1428,678,750,36,2,282,732,324,49,3,–,Worcester
ABERDEEN HIGH,Maryland,MD ,Harford County,†,4102735500,1-Regular school,1-Yes,1458,745,713,120,2,541,560,146,85,4,661,Aberdeen
ABERDEEN HIGH SCHOOL,Idaho,ID ,Bingham County,†,2083974152,1-Regular school,1-Yes,207,109,98,4,2,76,1,121,="0",3,198,ABERDEEN
ABERDEEN HIGH SCHOOL,Mississippi,MS ,Monroe County,http://www.asdms.us,6623698933,1-Regular school,1-Yes,313,145,168,†,†,4,306,1,1,1,313,Aberdeen
ABERNATHY H S,Texas,TX ,Hale County,http://www.abernathyisd.com,8062984902,1-Regular school,1-Yes,238,122,116,4,="0",106,1,126,="0",1,101,ABERNATHY
ABILENE H S,Texas,TX ,Taylor County,http://www.abileneisd.org,3256771731,1-Regular school,1-Yes,2126,998,1128,57,="0",697,330,1011,27,4,1337,ABILENE
ABILENE HIGH SCHOOL,Kansas,KS ,Dickinson County,http://www.abileneschools.org,7852631260,1-Regular school,1-Yes,502,263,239,19,="0",439,7,32,3,2,204,Abilene
ABINGDON HIGH,Virginia,VA ,Washington County,†,2767393200,1-Regular school,1-Yes,896,449,447,21,1,809,16,34,15,="0",325,Abingdon
ABINGDON-AVON HIGH SCH,Illinois,IL ,Knox County,†,3094622338,1-Regular school,1-Yes,263,134,129,5,†,245,1,10,1,1,118,Abingdon
ABINGTON HEIGHTS HS,Pennsylvania,PA ,Lackawanna County,†,5705855300,1-Regular school,1-Yes,1031,555,476,6,="0",940,17,22,44,2,183,Clarks Summit
ABINGTON HIGH,Massachusetts,MA ,Plymouth County,http://www.abingtonps.org,7819822160,1-Regular school,1-Yes,545,267,278,4,1,463,21,43,13,†,–,Abington
ABINGTON SHS,Pennsylvania,PA ,Montgomery County,†,2158844700,1-Regular school,1-Yes,1808,940,868,90,2,1116,366,149,82,3,374,Abington
ABLE PROGRAM,Illinois,IL ,Cook County,†,7085974250,2-Special education school,1-Yes,67,53,14,9,†,6,43,9,†,†,51,Markham
ABQ CHARTER ACADEMY,New Mexico,NM ,Bernalillo County,http://abqcharteracademy.org,5052426640,1-Regular school,1-Yes,299,122,177,4,="0",37,12,216,7,23,203,ALBUQUERQUE
ABQ SCHOOL OF EXCELLENCE,New Mexico,NM ,Bernalillo County,http://www.abqse.org/,5053127711,1-Regular school,1-Yes,658,318,340,30,†,310,34,252,32,†,428,ALBUQUERQUE
ABQ SIGN LANGUAGE ACADEMY,New Mexico,NM ,Bernalillo County,http://www.aslacademy.com/,5052447553,1-Regular school,1-Yes,95,49,46,1,="0",24,5,64,1,="0",34,ALBUQUERQUE
ABRAHAM CLARK HIGH SCHOOL,New Jersey,NJ ,Union County,http://achs.roselleschools.org/,9082982000,1-Regular school,1-Yes,746,398,348,3,†,20,383,322,13,5,481,ROSELLE
ABRAHAM LINCOLN HIGH,California,CA ,Santa Clara County,†,4085356300,1-Regular school,1-Yes,1805,848,957,53,10,254,50,1340,92,6,969,San Jose
ABRAHAM LINCOLN HIGH SCHOOL,Iowa,IA ,Pottawattamie County,http://www.council-bluffs.k12.ia.us,7123286481,1-Regular school,1-Yes,1301,662,639,55,2,1024,26,161,14,19,537,Council Bluffs
ABRAHAM LINCOLN HIGH SCHOOL,New York,NY ,Kings County,http://www.abrahamlincolnhs.net,7183337400,1-Regular school,1-Yes,1914,1144,770,10,15,325,801,474,275,14,1455,BROOKLYN
ABRAHAM LINCOLN HIGH SCHOOL,Colorado,CO ,Denver County,http://lincolnlancers.org,7204235000,1-Regular school,1-Yes,952,504,448,7,†,25,29,843,38,10,867,DENVER
ABRAHAM LINCOLN SENIOR HIGH,California,CA ,Los Angeles County,http://www.lincolnhs.org,3234414600,1-Regular school,1-Yes,1066,558,508,1,†,16,23,773,253,†,1001,Los Angeles
ABRAMSON SCI ACADEMY,LOUISIANA,LA ,Orleans Parish,†,5042410037,1-Regular school,1-Yes,593,311,282,2,2,9,537,15,26,2,593,New Orleans
ABSAROKEE HIGH SCHOOL,Montana,MT ,Stillwater County,†,4063284583,1-Regular school,1-Yes,86,45,41,1,="0",83,="0",="0",="0",2,13,Absarokee
ABSEGAMI HIGH SCHOOL,New Jersey,NJ ,Atlantic County,http://www.absegami.net,6096521372,1-Regular school,1-Yes,1153,622,531,28,4,501,194,233,192,1,557,GALLOWAY
ABSS EARLY COLLEGE AT ACC,North Carolina,NC ,Alamance County,http://amc.abss.k12.nc.us,3365064001,1-Regular school,1-Yes,228,95,133,11,="0",101,43,64,6,3,99,Graham
ACAD FOR COLLEGE PREP AND CAREER EXP,New York,NY ,Kings County,†,7185642566,1-Regular school,1-Yes,359,212,147,6,1,8,272,58,="0",14,299,BROOKLYN
ACAD FOR LIFELONG LEARNING,ILLINOIS,IL ,Cook County,†,7084813600,2-Special education school,1-Yes,31,22,9,1,†,3,19,7,†,1,27,Chicago Heights
ACAD FOR MULTILINGUAL ARTS AND SCI AT MERVYN M. DYMALLY HIGH,California,CA ,Los Angeles County,http://www.dymallyhs-lausd-ca.schoolloop.com,3235654600,1-Regular school,1-Yes,736,386,350,1,†,4,196,535,†,†,669,Los Angeles
ACAD-SCHOLARSHIP & ENTREPRENEURSHIP,New York,NY ,Bronx County,†,7186963840,1-Regular school,1-Yes,363,174,189,6,1,6,229,110,5,6,268,BRONX
ACADEMIA AVANCE CHARTER,CALIFORNIA,CA ,Los Angeles County,http://www.academiaavance.org,3232307270,1-Regular school,1-Yes,391,204,187,25,†,3,†,361,2,†,372,Highland Park
ACADEMIC ARTS HIGH SCHOOL,Minnesota,MN ,Dakota County,http://www.academic-arts.org,6514577427,1-Regular school,1-Yes,90,41,49,3,†,43,7,31,†,6,34,WEST SAINT PAUL
ACADEMIC EXCELLENCE ONLINE,MINNESOTA,MN ,St. Louis County,http://www.academicexcellenceonline.org,2183368766,1-Regular school,1-Yes,36,12,24,2,="0",31,1,2,="0",="0",14,DULUTH
ACADEMIC MAGNET HIGH,South Carolina,SC ,Charleston County,†,8437461300,1-Regular school,1-Yes,655,297,358,26,="0",511,24,32,61,1,20,North Charleston
ACADEMIC RECOVERY OMBUDSMAN,Louisiana,LA ,Caddo Parish,†,3183479502,1-Regular school,1-Yes,83,55,28,†,†,8,75,†,†,†,62,Shreveport
ACADEMIES OF EDUCATION AND EMPOWERMENT AT CARSON HIGH,California,CA ,Los Angeles County,†,3108471455,1-Regular school,1-Yes,539,274,265,†,37,11,97,293,100,1,379,Carson
ACADEMIES OF THE ANTELOPE VALLEY,California,CA ,Los Angeles County,http://www.avdistrict.org,6619487655,1-Regular school,1-Yes,565,248,317,31,†,88,79,350,14,3,320,Quartz Hill
ACADEMY 21,Michigan,MI ,Macomb County,http://www.clps.org,5865102000,1-Regular school,1-Yes,144,81,63,12,="0",103,23,2,1,3,94,Center Line
ACADEMY AT PALUMBO,Pennsylvania,PA ,Philadelphia County,†,2154008130,1-Regular school,1-Yes,1061,452,609,53,="0",128,462,112,301,5,1061,Philadelphia
ACADEMY AT SMITH,North Carolina,NC ,Guilford County,http://academyatsmith.gcsnc.com/pages/Academy_at_Smith,3363165866,1-Regular school,1-Yes,185,87,98,6,="0",3,92,52,30,2,147,Greensboro
ACADEMY AT WESTINGHOUSE,Pennsylvania,PA ,Allegheny County,http://www.pps.k12.pa.us/westinghouse/site/default.asp,4125293940,1-Regular school,1-Yes,708,370,338,26,="0",9,664,6,1,2,707,Pittsburgh
ACADEMY CHARTER HIGH SCHOOL,New Jersey,NJ ,Monmouth County,†,7326818377,1-Regular school,1-Yes,192,103,89,3,†,6,122,61,†,†,166,LAKE COMO
ACADEMY FOR ACADEMIC EXCELLENCE,CALIFORNIA,CA ,San Bernardino County,http://www.lewiscenter.org/aae,7609465414,1-Regular school,1-Yes,1447,744,703,118,2,670,44,525,84,4,479,Apple Valley
ACADEMY FOR BUSINESS AND TECHNOLOGY HIGH SCHOOL,Michigan,MI ,Wayne County,http://www.leonagroup.com/abt,3133823422,1-Regular school,1-Yes,268,148,120,="0",="0",8,248,12,="0",="0",222,MELVINDALE
ACADEMY FOR CAREER EXPLORATION,Rhode Island,RI ,Providence County,†,4014561738,1-Regular school,1-Yes,209,97,112,2,="0",8,36,160,2,1,173,Providence
ACADEMY FOR CHARACTER EDUCATION,Oregon,OR ,Lane County,http://www.ACEClassicalEd.org,5419429707,1-Regular school,1-Yes,204,95,109,8,="0",182,1,11,2,="0",–,Cottage Grove
ACADEMY FOR CLASSICAL EDUCATION,GEORGIA,GA ,Bibb County,†,4787475310,1-Regular school,1-Yes,1708,841,867,41,1,1211,265,55,133,2,1693,Macon
ACADEMY FOR COLLEGE AND CAREER EXPLORATION,Maryland,MD ,Baltimore city,http://www.baltimorecityschools.org/427,4103967607,1-Regular school,1-Yes,541,325,216,5,†,17,477,37,4,1,541,Baltimore
ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,New York,NY ,Kings County,†,7189684101,1-Regular school,1-Yes,300,191,109,2,2,19,229,27,16,5,241,BROOKLYN
ACADEMY FOR ENVIRONMENTAL LEADERSHIP,New York,NY ,Kings County,http://www.aelnyc.org,7183817100,1-Regular school,1-Yes,232,120,112,1,2,10,35,177,7,="0",209,BROOKLYN
ACADEMY FOR INNOVATIVE STUDIES,Indiana,IN ,Vanderburgh County,†,8124350979,1-Regular school,1-Yes,367,249,118,66,†,159,129,11,†,2,320,Evansville
ACADEMY FOR LANGUAGE AND TECHNOLOGY,New York,NY ,Bronx County,†,7187310219,1-Regular school,1-Yes,319,170,149,="0",="0",="0",="0",319,="0",="0",319,BRONX
ACADEMY FOR LEARNING,Illinois,IL ,Cook County,†,7088411063,2-Special education school,1-Yes,58,46,12,†,†,1,53,4,†,†,52,Dolton
ACADEMY FOR MATH ENGINEERING & SCIENCE,Utah,UT ,Salt Lake County,http://www.ames-slc.org/,8012789460,1-Regular school,1-Yes,484,241,243,29,40,227,29,100,46,13,148,SALT LAKE CITY
ACADEMY FOR SCIENCE AND DESIGN CHARTER (H),New Hampshire,NH ,Hillsborough County,http://www.asdnh.org,6035954705,1-Regular school,1-Yes,241,150,91,6,†,168,6,10,51,†,7,Nashua
ACADEMY FOR TECH & CLASS,New Mexico,NM ,Santa Fe County,http://www.atcschool.org/,5054734282,1-Regular school,1-Yes,390,215,175,3,†,154,3,206,14,10,118,SANTA FE
ACADEMY FOR TECHNOLOGY ENGINEERING MATH & SCIENCE,Texas,TX ,Taylor County,http://www.abileneisd.org,3257944140,1-Regular school,1-Yes,329,205,124,11,="0",170,18,116,12,2,138,ABILENE
ACADEMY FOR URBAN LEADERSHIP CHARTER SCHOOL,New Jersey,NJ ,Middlesex County,†,8482033742,1-Regular school,1-Yes,552,228,324,1,1,3,22,524,1,†,431,Perth Amboy
ACADEMY FOR URBAN SCHOLARS YOUNGSTOWN,Ohio,OH ,Mahoning County,http://www.ausohio.com,3307449070,1-Regular school,1-Yes,207,103,104,15,="0",10,163,19,="0",="0",–,Youngstown
ACADEMY FOR YOUNG WRITERS,New York,NY ,Kings County,http://www.academyforyoungwriters.org,7186887230,1-Regular school,1-Yes,552,216,336,5,="0",6,380,152,6,3,468,BROOKLYN
ACADEMY H S,Texas,TX ,Bell County,http://www.academyisd.net,2549824201,1-Regular school,1-Yes,450,258,192,14,2,310,24,94,3,3,158,LITTLE RIVER
ACADEMY HIGH SCHOOL,Colorado,CO ,Adams County,†,3038531900,1-Regular school,1-Yes,435,241,194,14,†,42,6,366,4,3,279,THORNTON
ACADEMY LEARNING CENTER,New Jersey,NJ ,Middlesex County,†,7326059100,2-Special education school,1-Yes,128,101,27,1,="0",51,23,23,30,="0",14,MONROE TOWNSHIP
ACADEMY OF AEROSPACE AND ENGINEERING,Connecticut,CT ,Hartford County,http://www.crecschools.org/,8607576347,1-Regular school,1-Yes,786,542,244,27,2,166,229,286,75,1,378,Windsor
ACADEMY OF AMERICAN STUDIES,New York,NY ,Queens County,http://www.academyofamericanstudies.com,7183618786,1-Regular school,1-Yes,1002,414,588,3,="0",345,41,349,264,="0",621,LONG ISLAND CITY
ACADEMY OF ART  CAREERS AND TECHNOLOGY,Nevada,NV ,Washoe County,†,7758614418,1-Regular school,1-Yes,574,223,351,44,7,314,7,161,39,2,127,Reno
ACADEMY OF ARTS AND ACADEMICS,Oregon,OR ,Lane County,http://a3school.org/,5417446728,1-Regular school,1-Yes,259,103,155,23,1,201,2,22,4,5,99,Springfield
ACADEMY OF BUILDING INDUSTRIES,Arizona,AZ ,Mohave County,†,9287882601,1-Regular school,1-Yes,119,77,42,="0",="0",86,2,26,2,3,–,FORT MOHAVE
ACADEMY OF CAREER EDUCATION CHARTER SCHOOL,Nevada,NV ,Washoe County,†,7753243900,1-Regular school,1-Yes,191,163,28,9,2,99,2,77,2,†,46,Reno
ACADEMY OF CAREERS AND EXPLORATION,California,CA ,San Bernardino County,http://www.helendalesd.com/schools/a_c_e_and_r_m_s_school,7609521266,1-Regular school,1-Yes,324,178,146,2,2,116,36,160,5,3,173,Helendale
ACADEMY OF CHARTER SCHOOLS,COLORADO,CO ,Adams County,http://theacademyk12.org,3032898088,1-Regular school,1-Yes,1881,947,934,85,1,1109,9,529,144,4,373,WESTMINSTER
ACADEMY OF ENVIRONMENTAL SCIENCE,Florida,FL ,Citrus County,http://aes.citrusschools.org/,3527958793,1-Regular school,1-Yes,123,65,58,3,="0",111,1,8,="0",="0",51,CRYSTAL RIVER
ACADEMY OF FINANCE AND ENTERPRISE,New York,NY ,Queens County,†,7183893623,1-Regular school,1-Yes,646,309,337,19,4,99,28,328,160,8,519,LONG ISLAND CITY
ACADEMY OF HEALTH SCIENCES AT PGCC,Maryland,MD ,Prince George's County,†,3015467247,1-Regular school,1-Yes,518,140,378,6,1,22,373,62,53,1,237,Largo
ACADEMY OF HOSPITALITY AND TOURISM,New York,NY ,Kings County,†,7185642580,1-Regular school,1-Yes,189,99,90,="0",="0",7,152,28,1,1,177,BROOKLYN
ACADEMY OF INTERNATIONAL STUDIES (AT WOODBURN),Oregon,OR ,Marion County,http://www.woodburnsd.org/academy-of-international-studies/,5039806100,1-Regular school,1-Yes,275,135,140,1,="0",10,1,263,="0",="0",212,Woodburn
ACADEMY OF MATH AND SCIENCE,Arizona,AZ ,Pima County,†,5202932676,1-Regular school,1-Yes,528,241,287,2,="0",91,20,394,10,11,310,TUCSON
ACADEMY OF MEDICAL ARTS AT CARSON HIGH,California,CA ,Los Angeles County,http://www.amachs-lausd-ca.schoolloop.com,3108471465,1-Regular school,1-Yes,517,171,346,1,16,14,55,206,224,1,333,Carson
ACADEMY OF MEDICAL TECHNOLOGY - A COLLEGE BOARD SCHOOL,New York,NY ,Queens County,†,7184713571,1-Regular school,1-Yes,621,321,300,5,5,25,259,283,34,10,510,FAR ROCKAWAY
ACADEMY OF RICHMOND COUNTY HIGH SCHOOL,Georgia,GA ,Richmond County,†,7067377152,1-Regular school,1-Yes,1175,608,567,43,9,189,869,56,6,3,1132,Augusta
ACADEMY OF SCIENCE AND INNOVATION,Connecticut,CT ,Hartford County,http://www.crec.org/schools/magnet.php,8602980602,1-Regular school,1-Yes,801,378,423,27,1,165,203,362,38,5,493,New Britain
ACADEMY OF SCIENCE MATH AND TECHNOLOGY EARLY COLLEGE HIGH SC,Michigan,MI ,Mason County,†,2318435935,1-Regular school,1-Yes,40,19,21,1,="0",36,="0",2,1,="0",11,Ludington
ACADEMY OF SEMINOLE CHARTER,OKLAHOMA,OK ,Cleveland County,http://theacademyofseminole.org,4053809010,1-Regular school,1-Yes,29,12,17,4,="0",16,="0",2,="0",7,12,Norman
ACADEMY OF THE AMERICAS HIGH SCHOOL,MICHIGAN,MI ,Wayne County,†,3133351310,1-Regular school,1-Yes,123,69,54,="0",="0",3,6,114,="0",="0",72,Detroit
ACADEMY OF THE CANYONS,California,CA ,Los Angeles County,http://www.academyofthecanyons.com,6613623056,1-Regular school,1-Yes,411,171,240,26,†,139,6,80,160,†,58,Santa Clarita
ACADEMY OF THE PACIFIC RIM CHARTER PUBLIC SCHOOL,Massachusetts,MA ,Suffolk County,http://www.pacrim.org,6173610050,1-Regular school,1-Yes,526,267,259,12,1,47,318,142,6,†,–,Hyde Park
ACADEMY OF TUCSON HIGH SCHOOL,Arizona,AZ ,Pima County,†,5207330096,1-Regular school,1-Yes,158,60,98,10,6,96,10,33,1,2,–,Tucson
ACADEMY OF URBAN PLANNING AND ENGINEERING (THE),New York,NY ,Kings County,http://www.aupnyc.org,7183817100,1-Regular school,1-Yes,232,131,101,2,="0",3,54,172,1,="0",229,BROOKLYN
ACADEMY ONLINE,Colorado,CO ,El Paso County,†,7192341970,1-Regular school,1-Yes,161,82,79,7,†,133,6,13,2,†,7,COLORADO SPRINGS
ACADEMY PARK HS,Pennsylvania,PA ,Delaware County,http://www.sedelco.org,6105224330,1-Regular school,1-Yes,1287,687,600,35,="0",211,997,24,20,="0",1173,Sharon Hill
ACADEMY WITH COMMUNITY PARTNERS,Arizona,AZ ,Maricopa County,†,4808330068,1-Regular school,1-Yes,135,82,53,3,2,36,8,83,="0",3,–,MESA
ACADIANA HIGH SCHOOL,Louisiana,LA ,Lafayette Parish,†,3375217950,1-Regular school,1-Yes,1768,896,872,20,†,798,728,198,22,2,780,Lafayette
ACALANES HIGH,California,CA ,Contra Costa County,†,9252803970,1-Regular school,1-Yes,1335,698,637,109,3,948,13,105,157,†,79,Lafayette
ACCELERATED ACHIEVEMENT ACADEMY,CALIFORNIA,CA ,Mendocino County,http://www.caredwoods.org,7074637080,1-Regular school,1-Yes,146,84,62,11,†,58,†,67,1,9,126,Ukiah
ACCELERATED CHARTER HIGH,CALIFORNIA,CA ,Tulare County,http://www.tulare.k12.ca.us,5596882021,1-Regular school,1-Yes,130,85,45,2,="0",13,4,111,="0",="0",110,Tulare
ACCELERATED LEARNING CENTER,Arizona,AZ ,Maricopa County,†,6024850309,1-Regular school,1-Yes,179,98,81,3,1,135,4,32,1,3,–,PHOENIX
ACCELERATED LEARNING LABORATORY,Arizona,AZ ,Pima County,†,5207432256,1-Regular school,1-Yes,167,94,73,="0",4,55,3,101,4,="0",–,TUCSON
ACCELERATION DAY AND EVENING ACADEMY,ALABAMA,AL ,Mobile County,http://www.accelacademymobile.com,2513010050,1-Regular school,1-Yes,300,127,173,3,1,55,230,5,3,3,216,Mobile
ACCESS CHARTER,Florida,FL ,Orange County,http://alomaes.ocps.net/,3213190640,2-Special education school,1-Yes,141,120,21,5,="0",55,21,56,4,="0",8,ORLANDO
ACCESS TO EDUCATION,Florida,FL ,Manatee County,†,9417516550,2-Special education school,1-Yes,50,40,10,3,="0",20,11,12,3,1,33,BRADENTON
ACE ACADEMY  JEFFERSON SITE,MICHIGAN,MI ,Wayne County,http://www.aceacademysda.com,3138527500,1-Regular school,1-Yes,13,13,="0",="0",="0",4,9,="0",="0",="0",10,Detroit
ACE CHARTER HIGH,CALIFORNIA,CA ,Santa Clara County,http://www.acecharter.org,4082511362,1-Regular school,1-Yes,363,202,161,1,†,1,3,352,6,†,275,San Jose
ACE LEADERSHIP HIGH SCHOOL,NEW MEXICO,NM ,Bernalillo County,http://aceleadership.org,5052424733,1-Regular school,1-Yes,247,150,97,1,1,14,2,225,†,4,247,ALBUQUERQUE
ACERO CHTR  SOR JUANA INES DE LA,ILLINOIS,IL ,Cook County,†,3124555440,1-Regular school,1-Yes,657,322,335,5,2,17,254,366,9,4,609,Chicago
ACERO CHTR NETRK -  MAJOR GARCIA,ILLINOIS,IL ,Cook County,†,7735793480,1-Regular school,1-Yes,618,331,287,†,†,11,6,597,2,2,577,Chicago
